code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1400,L'Abergement-Clémenciat,1001,46.1534255214,4.92611354223,1,Ain,84,Auvergne-Rhône-Alpes
1640,L'Abergement-de-Varey,1002,46.0091878776,5.42801696363,1,Ain,84,Auvergne-Rhône-Alpes
1500,Ambérieu-en-Bugey,1004,45.9608475114,5.3729257777,1,Ain,84,Auvergne-Rhône-Alpes
1330,Ambérieux-en-Dombes,1005,45.9961799872,4.91227250796,1,Ain,84,Auvergne-Rhône-Alpes
1300,Ambléon,1006,45.7494989044,5.59432017366,1,Ain,84,Auvergne-Rhône-Alpes
1500,Ambronay,1007,46.0055913782,5.35760660735,1,Ain,84,Auvergne-Rhône-Alpes
1500,Ambutrix,1008,45.9367134524,5.3328092349,1,Ain,84,Auvergne-Rhône-Alpes
1300,Andert-et-Condon,1009,45.7873565333,5.65788307924,1,Ain,84,Auvergne-Rhône-Alpes
1350,Anglefort,1010,45.9093715116,5.79516005674,1,Ain,84,Auvergne-Rhône-Alpes
1100,Apremont,1011,46.2054981558,5.65781475272,1,Ain,84,Auvergne-Rhône-Alpes
1110,Aranc,1012,46.0015344029,5.51130637511,1,Ain,84,Auvergne-Rhône-Alpes
1230,Arandas,1013,45.8908155275,5.49870439091,1,Ain,84,Auvergne-Rhône-Alpes
1100,Arbent,1014,46.2834936005,5.69061651221,1,Ain,84,Auvergne-Rhône-Alpes
1300,Arboys en Bugey,1015,45.7237621545,5.65263086429,1,Ain,84,Auvergne-Rhône-Alpes
1300,Arboys en Bugey,1015,45.7237621545,5.65263086429,1,Ain,84,Auvergne-Rhône-Alpes
1190,Arbigny,1016,46.4776762988,4.9599416863,1,Ain,84,Auvergne-Rhône-Alpes
1230,Argis,1017,45.9337182132,5.48251100314,1,Ain,84,Auvergne-Rhône-Alpes
1510,Armix,1019,45.8541838459,5.58357838695,1,Ain,84,Auvergne-Rhône-Alpes
1480,Ars-sur-Formans,1021,45.9934611,4.82199649494,1,Ain,84,Auvergne-Rhône-Alpes
1510,Artemare,1022,45.8695891748,5.69065283943,1,Ain,84,Auvergne-Rhône-Alpes
1570,Asnières-sur-Saône,1023,46.3857281418,4.88387478623,1,Ain,84,Auvergne-Rhône-Alpes
1340,Attignat,1024,46.2861802203,5.1795233845,1,Ain,84,Auvergne-Rhône-Alpes
1380,Bâgé-Dommartin,1025,46.3233203302,4.9528678933,1,Ain,84,Auvergne-Rhône-Alpes
1380,Bâgé-le-Châtel,1026,46.3077069231,4.92862084189,1,Ain,84,Auvergne-Rhône-Alpes
1360,Balan,1027,45.8311226453,5.10780019249,1,Ain,84,Auvergne-Rhône-Alpes
1990,Baneins,1028,46.1141214445,4.90146475101,1,Ain,84,Auvergne-Rhône-Alpes
1270,Beaupont,1029,46.4288360203,5.26003405676,1,Ain,84,Auvergne-Rhône-Alpes
1480,Beauregard,1030,46.0008580204,4.75600664694,1,Ain,84,Auvergne-Rhône-Alpes
1100,Bellignat,1031,46.2373497134,5.6360052884,1,Ain,84,Auvergne-Rhône-Alpes
1360,Béligneux,1032,45.8591464826,5.13989505865,1,Ain,84,Auvergne-Rhône-Alpes
1360,Béligneux,1032,45.8591464826,5.13989505865,1,Ain,84,Auvergne-Rhône-Alpes
1360,Béligneux,1032,45.8591464826,5.13989505865,1,Ain,84,Auvergne-Rhône-Alpes
1360,Béligneux,1032,45.8591464826,5.13989505865,1,Ain,84,Auvergne-Rhône-Alpes
1200,Bellegarde-sur-Valserine,1033,46.1067901755,5.83202736464,1,Ain,84,Auvergne-Rhône-Alpes
1300,Belley,1034,45.7494697806,5.68412365526,1,Ain,84,Auvergne-Rhône-Alpes
1130,Belleydoux,1035,46.2530316409,5.78471723698,1,Ain,84,Auvergne-Rhône-Alpes
1260,Belmont-Luthézieu,1036,45.8847475883,5.65115788055,1,Ain,84,Auvergne-Rhône-Alpes
1260,Belmont-Luthézieu,1036,45.8847475883,5.65115788055,1,Ain,84,Auvergne-Rhône-Alpes
1470,Bénonces,1037,45.8374974718,5.48285330863,1,Ain,84,Auvergne-Rhône-Alpes
1370,Bény,1038,46.3188629218,5.28253433405,1,Ain,84,Auvergne-Rhône-Alpes
1350,Béon,1039,45.8568920052,5.75220315052,1,Ain,84,Auvergne-Rhône-Alpes
1340,Béréziat,1040,46.3674371012,5.04021655965,1,Ain,84,Auvergne-Rhône-Alpes
1500,Bettant,1041,45.9368718303,5.36667617009,1,Ain,84,Auvergne-Rhône-Alpes
1290,Bey,1042,46.2191748844,4.84642690241,1,Ain,84,Auvergne-Rhône-Alpes
1700,Beynost,1043,45.8390325448,4.99738002182,1,Ain,84,Auvergne-Rhône-Alpes
1200,Billiat,1044,46.0791346715,5.76591818163,1,Ain,84,Auvergne-Rhône-Alpes
1330,Birieux,1045,45.9533995502,5.03666479984,1,Ain,84,Auvergne-Rhône-Alpes
1290,Biziat,1046,46.2266794269,4.94084673168,1,Ain,84,Auvergne-Rhône-Alpes
1150,Blyes,1047,45.8469686113,5.25166055884,1,Ain,84,Auvergne-Rhône-Alpes
1120,La Boisse,1049,45.8446213549,5.02783224111,1,Ain,84,Auvergne-Rhône-Alpes
1190,Boissey,1050,46.3727973545,4.9989764059,1,Ain,84,Auvergne-Rhône-Alpes
1380,Boissey,1050,46.3727973545,4.9989764059,1,Ain,84,Auvergne-Rhône-Alpes
1450,Bolozon,1051,46.1960338503,5.47095075411,1,Ain,84,Auvergne-Rhône-Alpes
